FullName,Winery,WineName,Year,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,VintagePrice,WinePrice,VintageRatingPriceRatio,WineRatingPriceRatio
Domaine Coche-Dury Meursault Les Rougeots 2005,Domaine Coche-Dury,Meursault Les Rougeots,2005,Burgundy,Côte de Beaune White,4.8,60,4.7,755,1008.22,1008.22,0.0047608656840768876,0.004661680982325286
Olivier Leflaive Bâtard-Montrachet Grand Cru 2012,Olivier Leflaive,Bâtard-Montrachet Grand Cru,2012,Burgundy,Côte de Beaune White,4.8,56,4.5,796,366.68,366.68,0.013090433075160902,0.012272281007963346
Domaine de La Romanée-Conti Montrachet Grand Cru 1999,Domaine de La Romanée-Conti,Montrachet Grand Cru,1999,Burgundy,Côte de Beaune White,4.8,47,4.7,1348,6800,6800,0.0007058823529411764,0.0006911764705882353
Domaine Leflaive Bâtard-Montrachet Grand Cru 2011,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.7,138,4.5,2064,393.21,393.21,0.011952900485745531,0.011444266422522317
F.X. Pichler Unendlich Riesling 2017,F.X. Pichler,Unendlich Riesling,2017,Austrian,Riesling,4.9,49,4.7,489,207.17,207.17,0.02365207317661824,0.022686682434715454
Bachelet-Monnot Bâtard-Montrachet Grand Cru 2015,Bachelet-Monnot,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.7,30,4.4,174,260,260,0.018076923076923077,0.016923076923076926
Marqués de Murrieta Castillo Ygay Gran Reserva Especial Blanco 1986,Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,Spanish,Rioja White,4.7,277,4.6,1341,599,599,0.007846410684474123,0.0076794657762938225
La Grange des Pères Vin de Pays de l'Hérault Blanc 2014,La Grange des Pères,Vin de Pays de l'Hérault Blanc,2014,Languedoc-Roussillon,White,4.5,90,4.5,632,223,223,0.020179372197309416,0.020179372197309416
Kistler Cuvée Cathleen Kistler Vineyard Chardonnay 2012,Kistler,Cuvée Cathleen Kistler Vineyard Chardonnay,2012,Californian,Chardonnay,4.5,29,4.5,342,259,259,0.017374517374517374,0.017374517374517374
Olivier Leflaive Bâtard-Montrachet Grand Cru 2015,Olivier Leflaive,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.5,32,4.5,796,400,400,0.01125,0.01125
Château La Mission Haut-Brion Pessac-Léognan Blanc (Château Laville Haut-Brion) (Grand Cru Classé de Graves) 2007,Château La Mission Haut-Brion,Pessac-Léognan Blanc (Château Laville Haut-Brion) (Grand Cru Classé de Graves),2007,,,4.4,71,4.3,974,250,250,0.0176,0.0172
Château Pape Clément Pessac-Léognan Blanc 2007,Château Pape Clément,Pessac-Léognan Blanc,2007,Bordeaux,White,4.4,109,4.2,1133,220,220,0.02,0.019090909090909092
Louis Jadot Bâtard-Montrachet Grand Cru 2005,Louis Jadot,Bâtard-Montrachet Grand Cru,2005,Burgundy,Côte de Beaune White,4.3,33,4.4,758,245,245,0.017551020408163264,0.017959183673469388
Ornellaia Toscana Bianco 2015,Ornellaia,Toscana Bianco,2015,Central Italy,White,4.2,57,4.4,279,226,226,0.018584070796460177,0.01946902654867257
Domaine de La Romanée-Conti Montrachet Grand Cru 2008,Domaine de La Romanée-Conti,Montrachet Grand Cru,2008,Burgundy,Côte de Beaune White,4.7,114,4.7,1348,7259.19,7259.19,0.0006474551568425679,0.0006474551568425679
Domaine de La Romanée-Conti Montrachet Grand Cru 2007,Domaine de La Romanée-Conti,Montrachet Grand Cru,2007,Burgundy,Côte de Beaune White,4.7,85,4.7,1348,6056.22,6056.22,0.0007760616358058327,0.0007760616358058327
Domaine de La Romanée-Conti Montrachet Grand Cru 2009,Domaine de La Romanée-Conti,Montrachet Grand Cru,2009,Burgundy,Côte de Beaune White,4.7,83,4.7,1348,6452.62,6452.62,0.0007283862988987419,0.0007283862988987419
Fontaine-Gagnard Bâtard-Montrachet Grand Cru 2011,Fontaine-Gagnard,Bâtard-Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.7,75,4.5,504,206.68,206.68,0.022740468356880202,0.021772788852332105
Domaine Coche-Dury Meursault Les Rougeots 2011,Domaine Coche-Dury,Meursault Les Rougeots,2011,Burgundy,Côte de Beaune White,4.7,70,4.7,755,705.75,705.75,0.006659582004959264,0.006659582004959264
Quintarelli Giuseppe Veneto Amabile del Cere Passito Bianco 2003,Quintarelli Giuseppe,Veneto Amabile del Cere Passito Bianco,2003,Northern Italy,White,4.7,66,4.6,184,377.4,377.4,0.012453630100688926,0.012188659247482777
Domaine Leflaive Chevalier-Montrachet Grand Cru 2013,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2013,Burgundy,Côte de Beaune White,4.7,56,4.6,1498,524.28,524.28,0.008964675364309149,0.008773937590600443
Kongsgaard The Judge Chardonnay 2013,Kongsgaard,The Judge Chardonnay,2013,Napa Valley,Chardonnay,4.7,56,4.6,371,722.68,722.68,0.006503570044833122,0.006365196214091991
Domaine Coche-Dury Meursault Les Rougeots 2007,Domaine Coche-Dury,Meursault Les Rougeots,2007,Burgundy,Côte de Beaune White,4.7,56,4.7,755,846.91,846.91,0.005549586142565326,0.005549586142565326
Trimbach Clos Sainte Hune Riesling Alsace 1989,Trimbach,Clos Sainte Hune Riesling Alsace,1989,Alsace,Riesling,4.7,54,4.4,2637,688,688,0.00683139534883721,0.006395348837209303
Sine Qua Non Deux Grenouilles 2016,Sine Qua Non,Deux Grenouilles,2016,Californian,White Blend,4.7,50,4.7,57,244,244,0.019262295081967213,0.019262295081967213
Domaine de La Romanée-Conti Montrachet Grand Cru 2003,Domaine de La Romanée-Conti,Montrachet Grand Cru,2003,Burgundy,Côte de Beaune White,4.7,47,4.7,1348,7057.55,7057.55,0.0006659534824407904,0.0006659534824407904
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2013,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2013,Burgundy,Côte de Beaune White,4.7,47,4.6,572,554.52,554.52,0.008475798889129338,0.008295462742552117
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2007,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2007,Burgundy,Côte de Beaune White,4.7,44,4.6,572,655.34,655.34,0.00717184972685934,0.007019257179479353
Domaine Leflaive Chevalier-Montrachet Grand Cru 2014,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2014,Burgundy,Côte de Beaune White,4.7,44,4.6,1498,695.67,695.67,0.006756076875530065,0.006612330559029425
Domaine de La Romanée-Conti Montrachet Grand Cru 1996,Domaine de La Romanée-Conti,Montrachet Grand Cru,1996,Burgundy,Côte de Beaune White,4.7,41,4.7,1348,9180,9180,0.0005119825708061002,0.0005119825708061002
Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese 1990,Joh. Jos. Prüm,Wehlener Sonnenuhr Riesling Auslese,1990,German,Riesling,4.7,40,4.4,2898,442.23,442.23,0.010627953779707391,0.009949573751215432
Olivier Leflaive Montrachet Grand Cru 2011,Olivier Leflaive,Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.7,36,4.6,197,398.33,398.33,0.011799261918509779,0.011548213792584038
Domaine de La Romanée-Conti Montrachet Grand Cru 1993,Domaine de La Romanée-Conti,Montrachet Grand Cru,1993,Burgundy,Côte de Beaune White,4.7,35,4.7,1348,5545.22,5545.22,0.0008475768319381377,0.0008475768319381377
Domaine Coche-Dury Meursault Les Rougeots 2012,Domaine Coche-Dury,Meursault Les Rougeots,2012,Burgundy,Côte de Beaune White,4.7,35,4.7,755,756.17,756.17,0.006215533544044329,0.006215533544044329
Château Rayas Châteauneuf-du-Pape Réservé Blanc 2008,Château Rayas,Châteauneuf-du-Pape Réservé Blanc,2008,Southern Rhône,White,4.7,34,4.4,417,302.47,302.47,0.01553873111382947,0.014546897212946738
Egon Müller - Scharzhof Scharzhofberger Riesling Auslese 2005,Egon Müller - Scharzhof,Scharzhofberger Riesling Auslese,2005,German,Riesling,4.7,33,4.5,887,304.99,304.99,0.015410341322666317,0.014754582117446473
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2005,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2005,Burgundy,Côte de Beaune White,4.7,33,4.7,454,4738.64,4738.64,0.0009918457616531326,0.0009918457616531326
Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 1998,Joseph Drouhin,Montrachet Grand Cru Marquis de Laguiche,1998,Burgundy,Côte de Beaune White,4.7,31,4.6,1191,350,350,0.013428571428571429,0.013142857142857142
Domaine Leflaive Chevalier-Montrachet Grand Cru 2012,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2012,Burgundy,Côte de Beaune White,4.7,30,4.6,1498,604.93,604.93,0.007769493991040287,0.0076041856082521946
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 1999,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),1999,Bordeaux,White,4.7,25,4.5,820,625.1,625.1,0.007518796992481203,0.007198848184290513
Louis Jadot Bâtard-Montrachet Grand Cru 2015,Louis Jadot,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.7,30,4.4,758,352.88,352.88,0.013318975289050104,0.012468827930174564
Domaine Leflaive Chevalier-Montrachet Grand Cru 2015,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.7,30,4.6,1498,705.75,705.75,0.006659582004959264,0.006517888770811193
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2012,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2012,Burgundy,Côte de Beaune White,4.7,30,4.6,572,725.92,725.92,0.00647454264932775,0.006336786422746308
Bouchard Père & Fils Chevalier-Montrachet Grand Cru 'La Cabotte' Blanc 2009,Bouchard Père & Fils,Chevalier-Montrachet Grand Cru 'La Cabotte' Blanc,2009,Burgundy,Côte de Beaune White,4.7,29,4.5,304,309,309,0.015210355987055016,0.014563106796116505
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2004,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2004,Burgundy,Côte de Beaune White,4.7,28,4.7,454,4022.8,4022.8,0.0011683404593815254,0.0011683404593815254
Domaine Blain-Gagnard Bâtard-Montrachet Grand Cru 2015,Domaine Blain-Gagnard,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.7,28,4.4,447,242.6,242.6,0.019373454245671887,0.018136850783182196
Gaja Gaia & Rey Langhe 1998,Gaja,Gaia & Rey Langhe,1998,Northern Italy,White,4.7,28,4.5,3804,277.26,277.26,0.016951597778258675,0.016230253191949796
Domaine de La Romanée-Conti Montrachet Grand Cru 1998,Domaine de La Romanée-Conti,Montrachet Grand Cru,1998,Burgundy,Côte de Beaune White,4.7,28,4.7,1348,8520,8520,0.000551643192488263,0.000551643192488263
Domaine Coche-Dury Corton-Charlemagne Grand Cru 1999,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,1999,Burgundy,Côte de Beaune White,4.7,27,4.7,454,5242.75,5242.75,0.0008964760860235563,0.0008964760860235563
Raveneau Chablis Premier Cru 'Butteaux' 2001,Raveneau,Chablis Premier Cru 'Butteaux',2001,Burgundy,Chablis,4.7,27,4.4,1607,211.73,211.73,0.022198082463514856,0.020781183582864973
Keller G-Max Riesling 2006,Keller,G-Max Riesling,2006,German,Riesling,4.7,27,4.7,209,2720,2720,0.0017279411764705883,0.0017279411764705883
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2014,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2014,Bordeaux,White,4.7,27,4.5,820,654.34,654.34,0.007182810159855732,0.0068771586636916585
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2010,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2010,Burgundy,Côte de Beaune White,4.7,27,4.6,572,722.68,722.68,0.006503570044833122,0.006365196214091991
Bouchard Père & Fils Montrachet Grand Cru Blanc 2013,Bouchard Père & Fils,Montrachet Grand Cru Blanc,2013,Burgundy,Côte de Beaune White,4.7,27,4.5,586,495,495,0.009494949494949495,0.00909090909090909
Bouchard Père & Fils Montrachet Grand Cru Blanc 2015,Bouchard Père & Fils,Montrachet Grand Cru Blanc,2015,Burgundy,Côte de Beaune White,4.7,27,4.5,586,453.7,453.7,0.0103592682389244,0.009918448313863787
Maison Pierre Overnoy Arbois Pupillin Blanc 2006,Maison Pierre Overnoy,Arbois Pupillin Blanc,2006,Jura,White,4.7,26,4.3,596,352.88,352.88,0.013318975289050104,0.012185445477216051
Raveneau Chablis Grand Cru 'Blanchot' 2001,Raveneau,Chablis Grand Cru 'Blanchot',2001,Burgundy,Chablis,4.7,30,4.5,458,222.65,222.65,0.021109364473388726,0.020211093644733887
Gaja Gaia & Rey Langhe 2006,Gaja,Gaia & Rey Langhe,2006,Northern Italy,White,4.6,290,4.5,3804,210,210,0.021904761904761903,0.02142857142857143
Domaine Coche-Dury Meursault Blanc 2011,Domaine Coche-Dury,Meursault Blanc,2011,Burgundy,Côte de Beaune White,4.6,224,4.5,2392,430,430,0.01069767441860465,0.010465116279069767
Domaine Coche-Dury Meursault Blanc 2012,Domaine Coche-Dury,Meursault Blanc,2012,Burgundy,Côte de Beaune White,4.6,177,4.5,2392,494.03,494.03,0.0093111754346902,0.009108758577414328
Marcassin Marcassin Vineyard Chardonnay 2012,Marcassin,Marcassin Vineyard Chardonnay,2012,Californian,Chardonnay,4.6,171,4.6,884,568,568,0.008098591549295774,0.008098591549295774
Domaine Coche-Dury Meursault Blanc 2010,Domaine Coche-Dury,Meursault Blanc,2010,Burgundy,Côte de Beaune White,4.6,163,4.5,2392,554.52,554.52,0.008295462742552117,0.008115126595974898
Domaine Leflaive Chevalier-Montrachet Grand Cru 2009,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2009,Burgundy,Côte de Beaune White,4.6,154,4.6,1498,460,460,0.009999999999999998,0.009999999999999998
Didier Dagueneau (Louis-Benjamin Dagueneau) Silex 2005,Didier Dagueneau (Louis-Benjamin Dagueneau),Silex,2005,Upper Loire Valley,White,4.6,151,4.4,4879,234,234,0.019658119658119658,0.018803418803418806
Domaine Coche-Dury Meursault Blanc 2006,Domaine Coche-Dury,Meursault Blanc,2006,Burgundy,Côte de Beaune White,4.6,135,4.5,2392,399.09,399.09,0.011526222155403543,0.011275652108546945
Domaine Coche-Dury Meursault Blanc 2015,Domaine Coche-Dury,Meursault Blanc,2015,Burgundy,Côte de Beaune White,4.6,130,4.5,2392,462.77,462.77,0.009940143051623917,0.009724052985284266
Domaine des Comtes Lafon Meursault-Charmes Premier Cru 2010,Domaine des Comtes Lafon,Meursault-Charmes Premier Cru,2010,Burgundy,Côte de Beaune White,4.6,127,4.4,1836,221.81,221.81,0.020738469861593254,0.01983679725891529
Egon Müller - Scharzhof Scharzhofberger Riesling Auslese 2011,Egon Müller - Scharzhof,Scharzhofberger Riesling Auslese,2011,German,Riesling,4.6,103,4.5,887,275,275,0.016727272727272726,0.016363636363636365
Domaine Coche-Dury Meursault Les Rougeots 2009,Domaine Coche-Dury,Meursault Les Rougeots,2009,Burgundy,Côte de Beaune White,4.6,102,4.7,755,756.17,756.17,0.006083288149490194,0.006215533544044329
Domaine Leflaive Puligny-Montrachet 1er Cru Les Pucelles 2015,Domaine Leflaive,Puligny-Montrachet 1er Cru Les Pucelles,2015,Burgundy,Côte de Beaune White,4.6,84,4.4,2367,216.67,216.67,0.02123044260857525,0.02030737988646329
Sine Qua Non Entre Chien et Loup 2015,Sine Qua Non,Entre Chien et Loup,2015,Californian,White Blend,4.6,75,4.6,80,243.65,243.65,0.018879540324235583,0.018879540324235583
Domaine Leflaive Puligny-Montrachet 1er Cru Les Pucelles 1996,Domaine Leflaive,Puligny-Montrachet 1er Cru Les Pucelles,1996,Burgundy,Côte de Beaune White,4.6,70,4.4,2367,247.85,247.85,0.018559612668952993,0.01775267298769417
Olivier Leflaive Bâtard-Montrachet Grand Cru 2013,Olivier Leflaive,Bâtard-Montrachet Grand Cru,2013,Burgundy,Côte de Beaune White,4.6,69,4.5,796,275,275,0.016727272727272726,0.016363636363636365
Peter Michael Mon Plaisir Chardonnay 2013,Peter Michael,Mon Plaisir Chardonnay,2013,Californian,Chardonnay,4.6,68,4.5,494,159,159,0.02893081761006289,0.02830188679245283
Domaine de La Romanée-Conti Montrachet Grand Cru 2011,Domaine de La Romanée-Conti,Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.6,64,4.7,1348,8880,8880,0.0005180180180180179,0.0005292792792792793
Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2000,Joseph Drouhin,Montrachet Grand Cru Marquis de Laguiche,2000,Burgundy,Côte de Beaune White,4.6,64,4.6,1191,739.36,739.36,0.006221597056914087,0.006221597056914087
Domaine Leflaive Chevalier-Montrachet Grand Cru 2002,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2002,Burgundy,Côte de Beaune White,4.6,64,4.6,1498,725,725,0.006344827586206896,0.006344827586206896
Domaine Leflaive Chevalier-Montrachet Grand Cru 2010,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2010,Burgundy,Côte de Beaune White,4.6,61,4.6,1498,521.57,521.57,0.00881952566290239,0.00881952566290239
Domaine Leflaive Bâtard-Montrachet Grand Cru 2014,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2014,Burgundy,Côte de Beaune White,4.6,58,4.5,2064,453.7,453.7,0.010138858276394092,0.009918448313863787
Domaine Leflaive Bâtard-Montrachet Grand Cru 2015,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.6,58,4.5,2064,502.98,502.98,0.009145492862539266,0.008946677800310152
Marcassin Marcassin Vineyard Chardonnay 2008,Marcassin,Marcassin Vineyard Chardonnay,2008,Californian,Chardonnay,4.6,57,4.6,884,464.68,464.68,0.009899285529826976,0.009899285529826976
Château d'Yquem Y 2009,Château d'Yquem,Y,2009,Bordeaux,White,4.6,56,4.5,3056,201.64,201.64,0.02281293394167824,0.022317000595120016
Domaine Coche-Dury Meursault Les Rougeots 2006,Domaine Coche-Dury,Meursault Les Rougeots,2006,Burgundy,Côte de Beaune White,4.6,56,4.7,755,630.14,630.14,0.007299965087123496,0.0074586599803218336
Domaine Leflaive Chevalier-Montrachet Grand Cru 2001,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2001,Burgundy,Côte de Beaune White,4.6,53,4.6,1498,475,475,0.009684210526315788,0.009684210526315788
Château Rayas Châteauneuf-du-Pape Réservé Blanc 2007,Château Rayas,Châteauneuf-du-Pape Réservé Blanc,2007,Southern Rhône,White,4.6,53,4.4,417,423.45,423.45,0.010863147951351989,0.010390837170858426
Domaine Leflaive Bienvenues-Bâtard-Montrachet Grand Cru 2011,Domaine Leflaive,Bienvenues-Bâtard-Montrachet Grand Cru,2011,Burgundy,Côte de Beaune White,4.6,51,4.5,879,402.28,402.28,0.011434821517351099,0.011186238440886944
Domaine Coche-Dury Meursault Les Rougeots 2008,Domaine Coche-Dury,Meursault Les Rougeots,2008,Burgundy,Côte de Beaune White,4.6,51,4.7,755,756.17,756.17,0.006083288149490194,0.006215533544044329
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2009,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2009,Burgundy,Côte de Beaune White,4.6,50,4.6,572,447.82,447.82,0.010271984279397971,0.010271984279397971
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2011,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2011,Burgundy,Côte de Beaune White,4.6,49,4.6,572,554.52,554.52,0.008295462742552117,0.008295462742552117
Aubert Chardonnay Ritchie Vineyard 2014,Aubert,Chardonnay Ritchie Vineyard,2014,Californian,Chardonnay,4.6,48,4.5,519,231,231,0.01991341991341991,0.01948051948051948
Arnaud Ente Meursault 2015,Arnaud Ente,Meursault,2015,Burgundy,Côte de Beaune White,4.6,47,4.4,590,315,315,0.014603174603174602,0.01396825396825397
Château d'Yquem Y 1995,Château d'Yquem,Y,1995,Bordeaux,White,4.6,46,4.5,3056,267,267,0.017228464419475654,0.016853932584269662
Domaine Coche-Dury Puligny-Montrachet Les Enseignères 2006,Domaine Coche-Dury,Puligny-Montrachet Les Enseignères,2006,Burgundy,Côte de Beaune White,4.6,45,4.6,572,554.52,554.52,0.008295462742552117,0.008295462742552117
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2006,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2006,Bordeaux,White,4.6,44,4.5,820,444.79,444.79,0.010341959126778929,0.010117133928370691
Bouchard Père & Fils Montrachet Grand Cru Blanc 2009,Bouchard Père & Fils,Montrachet Grand Cru Blanc,2009,Burgundy,Côte de Beaune White,4.6,42,4.5,586,501.67,501.67,0.009169374289871827,0.008970040066178962
Jean-Claude Ramonet Bâtard-Montrachet Grand Cru 2009,Jean-Claude Ramonet,Bâtard-Montrachet Grand Cru,2009,Burgundy,Côte de Beaune White,4.6,40,4.5,799,483.95,483.95,0.009505114164686435,0.009298481248062816
Domaine Leflaive Bienvenues-Bâtard-Montrachet Grand Cru 2012,Domaine Leflaive,Bienvenues-Bâtard-Montrachet Grand Cru,2012,Burgundy,Côte de Beaune White,4.6,38,4.5,879,384,384,0.011979166666666666,0.01171875
Domaine d'Auvenay (Lalou Bize Leroy) Meursault Les Narvaux 2004,Domaine d'Auvenay (Lalou Bize Leroy),Meursault Les Narvaux,2004,Burgundy,Côte de Beaune White,4.6,37,4.6,262,1613.15,1613.15,0.0028515637107522545,0.0028515637107522545
Domaine Leflaive Chevalier-Montrachet Grand Cru 2003,Domaine Leflaive,Chevalier-Montrachet Grand Cru,2003,Burgundy,Côte de Beaune White,4.6,37,4.6,1498,457.9,457.9,0.010045861541821358,0.010045861541821358
Peter Michael Belle Côte Chardonnay 2017,Peter Michael,Belle Côte Chardonnay,2017,Californian,Chardonnay,4.6,37,4.5,1007,196,196,0.023469387755102038,0.02295918367346939
Domaine Jean-Louis Chave Hermitage Blanc 2015,Domaine Jean-Louis Chave,Hermitage Blanc,2015,Northern Rhône,White,4.6,36,4.4,640,221.81,221.81,0.020738469861593254,0.01983679725891529
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2007,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2007,Bordeaux,White,4.6,36,4.5,820,574.39,574.39,0.008008495969637354,0.007834398231166977
Domaine de La Romanée-Conti Montrachet Grand Cru 1997,Domaine de La Romanée-Conti,Montrachet Grand Cru,1997,Burgundy,Côte de Beaune White,4.6,35,4.7,1348,8660,8660,0.0005311778290993071,0.0005427251732101617
Domaine Leflaive Bâtard-Montrachet Grand Cru 2003,Domaine Leflaive,Bâtard-Montrachet Grand Cru,2003,Burgundy,Côte de Beaune White,4.6,35,4.5,2064,422.98,422.98,0.010875218686462716,0.010638800888930919
Domaine des Héritiers Louis Jadot Chevalier Montrachet Grand Cru Les Demoiselles 2010,Domaine des Héritiers Louis Jadot,Chevalier Montrachet Grand Cru Les Demoiselles,2010,Burgundy,Côte de Beaune White,4.6,34,4.5,376,280,280,0.016428571428571428,0.01607142857142857
Louis Jadot Bâtard-Montrachet Grand Cru 2014,Louis Jadot,Bâtard-Montrachet Grand Cru,2014,Burgundy,Côte de Beaune White,4.6,34,4.4,758,260,260,0.01769230769230769,0.016923076923076926
Etienne Sauzet Bâtard-Montrachet Grand Cru 2010,Etienne Sauzet,Bâtard-Montrachet Grand Cru,2010,Burgundy,Côte de Beaune White,4.6,34,4.4,521,400,400,0.0115,0.011000000000000001
Olivier Leflaive Chevalier-Montrachet Grand Cru 2013,Olivier Leflaive,Chevalier-Montrachet Grand Cru,2013,Burgundy,Côte de Beaune White,4.6,34,4.5,141,403.29,403.29,0.01140618413548563,0.01115822361080116
Domaine Coche-Dury Meursault Les Rougeots 2013,Domaine Coche-Dury,Meursault Les Rougeots,2013,Burgundy,Côte de Beaune White,4.6,33,4.7,755,695.67,695.67,0.006612330559029425,0.006756076875530065
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2009,Château Haut-Brion,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2009,Bordeaux,White,4.6,33,4.5,820,955.08,955.08,0.004816350462788457,0.004711647191858273
Domaine des Comtes Lafon Montrachet Grand Cru 2004,Domaine des Comtes Lafon,Montrachet Grand Cru,2004,Burgundy,Côte de Beaune White,4.6,31,4.7,325,1512.33,1512.33,0.0030416641870491226,0.003107787321550191
Domaine Henri Boillot Bâtard-Montrachet Grand Cru 2015,Domaine Henri Boillot,Bâtard-Montrachet Grand Cru,2015,Burgundy,Côte de Beaune White,4.6,30,4.5,279,442.98,442.98,0.010384215991692626,0.010158472165786265
Domaine Coche-Dury Corton-Charlemagne Grand Cru 2001,Domaine Coche-Dury,Corton-Charlemagne Grand Cru,2001,Burgundy,Côte de Beaune White,4.6,29,4.7,454,3831.24,3831.24,0.0012006556623965086,0.001226756872448607
